Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"150020 Acará";55513;6,33;344,78;58,03;9,85;5,32;15,64;12331171,17;6045156,47;19139651,91
"150030 Afuá";38863;2,78;323,19;54,79;0,00;1,89;5,06;6867644,62;4419453,82;12559945,17
"150034 Água Azul do Norte";27241;4,34;525,84;48,73;3,32;22,02;5,83;8196465,18;5879142,08;14324370,89
"150040 Alenquer";56480;1,89;320,19;62,20;2,49;11,82;5,51;15109292,77;5882143,67;18084350,00
"150050 Almeirim";34142;1,28;668,16;40,84;3,40;7,14;14,51;9793528,29;8823404,32;22812269,74
"150060 Altamira";113195;11,14;628,96;35,36;4,82;9,70;0,85;30627759,14;39658273,24;71194855,30
"150070 Anajás";28859;1,91;477,42;47,97;0,00;5,96;20,11;6530797,55;4640315,22;13777738,77
"150080 Ananindeua";525566;11,86;479,90;46,20;1,77;28,83;1,01;169361405,96;46869375,16;252216655,54
"150085 Anapu";27161;11,10;548,95;55,90;0,00;17,25;3,16;7802433,11;5503704,61;14910030,67
"150090 Augusto Corrêa";45516;3,14;531,33;34,90;0,00;13,59;8,75;11322063,12;4813653,74;24184167,28
"150095 Aurora do Pará";30896;3,56;346,31;57,38;0,00;5,98;3,89;6018126,85;3983622,77;10699695,82
"150100 Aveiro";16371;0,64;520,70;56,72;3,05;5,49;4,93;3703112,19;2748226,37;8524433,00
"150110 Bagre";30009;1,48;326,05;54,11;13,78;2,95;4,97;3306007,04;3956714,88;9784504,13
"150120 Baião";46416;4,03;358,07;45,92;0,00;6,23;3,03;7968107,03;6646087,72;16620222,60
"150125 Bannach";3310;2,59;1399,98;52,97;0,00;13,21;1,13;2818193,52;2733975,35;4633926,94
"150130 Barcarena";122294;26,43;745,96;58,79;15,31;8,98;2,11;39953649,29;47307454,54;91226057,47
"150140 Belém";1485732;21,40;688,04;37,84;1,61;29,76;2,50;531078640,80;448276039,66;1022241036,08
"150145 Belterra";17624;2,97;491,84;59,20;3,51;17,60;8,53;5400641,59;3693504,52;8668190,03
"150150 Benevides";61689;8,18;422,34;56,96;0,13;5,07;6,65;19989060,41;18046313,51;26053633,44
"150157 Bom Jesus do Tocantins";16841;4,19;713,86;57,86;2,53;14,77;2,34;5982405,68;3967144,51;12022071,50
"150160 Bonito";16038;3,31;638,67;26,65;3,13;6,96;4,59;3090444,59;4530127,42;10242969,32
"150170 Bragança";126436;5,62;343,24;46,26;10,25;16,73;3,44;32283238,66;11078308,00;43398429,49
"150172 Brasil Novo";15190;5,81;836,16;41,39;13,35;10,28;2,80;8939839,01;3832926,34;12701273,65
"150175 Brejo Grande do Araguaia";7392;3,78;762,21;33,02;7,48;6,13;9,38;3201960,13;2395233,30;5634272,06
"150178 Breu Branco";64738;6,17;470,14;41,91;4,95;12,97;3,84;16831827,91;13930803,63;30435723,21
"150180 Breves";101891;4,36;438,44;69,56;3,51;5,05;2,01;35135073,94;8910345,42;44672783,55
"150190 Bujaru";28832;2,66;286,20;56,77;0,00;5,90;3,07;4108516,04;3448345,01;8251797,41
"150200 Cachoeira do Arari";23466;1,15;333,07;70,12;0,00;2,40;0,06;3296893,63;3574066,25;7815817,82
"150195 Cachoeira do Piriá";33178;2,70;361,73;45,65;2,81;3,54;19,59;6320388,07;4184538,06;12001542,96
"150210 Cametá";136390;4,35;315,94;35,24;2,21;23,65;12,29;35346231,60;9613780,18;43091296,23
